,1S,10S,11S,13S,14S,15S,2S,20S,21S,23S,26S,3S,5S,6S,7S,1P1,10P1,11P1,13P1,14P1,15P1,2P1,20P1,21P1,23P1,26P1,3P1,5P1,6P1,7P1,1P2,10P2,11P2,13P2,14P2,15P2,2P2,20P2,21P2,23P2,26P2,3P2,5P2,6P2,7P2,pval.P1vsP2,padj.P1vsP2,pval.P1vsS,padj.P1vsS,pval.P2vsS,padj.P2vsS
idh1,7.0495218887583,6.84981793016453,6.90612270396466,6.60321423721008,6.78450152975505,7.35127273369005,6.72159022805815,6.73269975309606,7.11255647771908,6.90309827119943,7.20243947575774,7.19212547420108,6.49339824639913,6.90516946504927,7.14244281742967,6.80430839990413,6.62283738350502,6.90463752244195,6.44443278817799,6.51639839109803,6.38358980191646,6.66521282174097,6.54483032331993,7.09123224778046,7.31974089674516,6.83389715271125,6.74686202180018,6.78724215171287,6.71466682416791,6.9882109331,6.70164789621156,6.83941715544121,6.97930052450846,6.7964603860407,6.65516230387192,6.78115364833508,6.97001911688891,7.22889231552836,7.26127276211661,7.17902212892091,7.1478156454039,6.88736394987034,6.98135709959122,7.0392385293139,7.16313217922261,0.0110381069141155,0.202274584791334,0.0603739057446294,0.336895255423971,0.478547351641712,1
aco2b,1.76883832916769,2.20235545366874,2.12818717691636,2.40432328608088,2.01939292495762,2.07396998259889,1.94340313715006,2.43656481815432,2.15967797623078,2.19715492247739,2.05025957026602,1.89232836514596,2.09912548481718,2.32239217335363,2.04659540781836,1.92086412745379,2.10267993146976,2.30710494008695,1.89416419129313,1.70563234308576,1.96015591260678,1.81110892540773,1.82504066396626,2.30644505257114,2.11019457045226,1.86135139703803,2.31334927371174,1.87855304768859,1.78392100895506,2.09560171678629,1.84193944448033,2.11776859499602,2.13308253215978,1.94399652580289,1.68185231390109,2.35399642342587,2.17859743523902,1.94066579028795,1.8863914995229,1.91697997780809,2.09452518294425,2.07617060941987,1.66307237929319,2.41094732298898,1.96185501785301,0.993597217420043,NA,0.180649258137823,0.557300839700433,0.160289807998301,1
ogdhb,3.61929283103936,2.96572459520359,3.01419902457429,3.42395468474633,3.01414509353152,3.48964771054707,3.29195986827731,3.26798255501931,3.59226382932202,3.54914687272678,3.36565557320871,3.4444661960019,4.07355529397006,3.07588824462563,3.58244458446457,3.16415637920031,3.13245140825827,3.27354781432955,3.32469875695992,2.73504307409433,3.06021151078961,3.00550377952498,3.18681514961599,3.16260414994566,3.14318836294117,2.9840724480957,2.66062060158006,3.08836187051436,3.18433227618453,3.33167045382746,2.79552183236321,3.16819237558926,3.39020703625439,3.34666270064622,3.34272986635524,3.7545757148025,3.2638864588453,3.70076700100155,3.3944922156595,3.34283587012874,3.25599253148081,3.36275566376476,3.09643906831428,3.39950923170427,3.06287746043927,0.00533971984744241,0.141823858127372,0.000581107871304993,0.0279842180558108,0.51144443871782,1
sdhaf3,4.81955095508345,5.44846696177009,5.39619182162128,4.94535257399445,5.04523319753297,5.05071168144784,5.60424869320136,5.07293400003964,5.20624384886127,5.37100740835806,5.43942232635654,5.50048609382716,5.36545566983221,5.53900304300946,5.60420733151444,5.27060020308562,5.34943999353994,5.19279376241618,5.01025311227784,4.62358242504882,5.06800191910485,5.48647976835381,5.30888440560118,4.9897734185636,4.95245238866366,4.91667882116518,5.55891491867734,5.11481410460434,5.2881009030522,5.19980707229673,5.6019479843738,5.24886043618276,5.32426502666252,4.64991619683406,4.88849328643161,5.07802315205581,5.57632928859804,5.00232907119464,5.31816762598338,5.43971730623691,4.9179223393666,5.69986689431274,5.33561052456983,5.52629037092598,5.27712460583152,0.286572179169136,0.788594299056056,0.142959195411816,0.503170627233904,0.692145333198128,1
dlsta,8.12704081059023,8.40916702726859,8.53884692798231,8.19934440829049,8.2681723789039,8.10341528137299,8.37528931905491,8.0295143080837,8.2619069549901,8.36153954995967,8.4649303554864,8.56082553850623,8.57881029869494,8.55874089225603,8.58567155187946,8.37101058982312,8.42277398531454,8.17675995551816,8.08853120800009,8.38397349779129,8.32952151655181,8.48668619930595,8.16719441768242,8.27213444334465,8.22826784563331,8.19268322180824,8.37291789769986,8.36002768565228,8.44575970036741,8.10551374378302,8.15676944351308,8.30083276155217,8.3436319374904,8.08024679586796,8.23017459319159,8.15704545136276,8.34679904943716,8.30011543509578,8.10174564908239,8.29486640517155,8.37118887522987,8.54385767400934,8.43096887939732,8.44090993329624,8.27261416429641,0.808640137981315,0.975788634298636,0.192245707133348,0.571544344582845,0.283592866790579,1
sdhaf4,2.60882328470861,2.71507680533779,2.25914388804806,2.69938388437865,2.69073617381798,2.29603429475453,2.84052850085837,2.28820761164165,2.90942613641719,2.42220238127209,2.11001312614513,2.37796963518409,2.29025398146886,2.61587160839528,2.8607536032899,2.91293847475379,2.48481702987546,2.6756844083654,2.79252440931927,2.56303590452747,2.98949415282616,2.68780136983475,3.06913707340242,2.53484416947415,2.08319178908813,2.66325867469946,2.60661213080432,2.69222599055921,2.55500366609603,2.28699543178528,2.6307622269029,2.13146069771942,2.77428925065778,2.30805554661699,2.86182984584141,2.35121109469403,2.38863185351883,2.30434564415136,2.48720728789734,2.35055766780041,2.61122199647995,2.62155265337252,2.36613293929881,2.63654379852592,2.51389393208135,0.0479521363036186,NA,0.256792240014327,0.644635532838745,0.376934559859394,1
ogdhl,3.59020061620594,4.21412293120437,3.85694177860274,4.0235806568518,4.03009006466047,3.91965593483803,3.41272537585975,3.80135384809856,3.79242937816594,3.894217231154,4.05467578622033,3.62881175688713,4.11292729194294,3.85589906490008,4.08681829828441,3.9224410682058,3.65212737656914,3.38691791794723,3.69283077637531,3.93941178544099,3.6242283189624,3.63039025227787,3.368333496669,3.55740056312704,3.39079062966158,3.43928213590202,3.64603767446834,3.4732157172511,3.28275886950836,3.51107704021419,3.78560031329784,4.1706149207294,3.89444391049072,4.01380944233403,3.94162703675355,3.11903972124186,4.13490652162622,4.39575217995772,3.76927178616229,4.40787885906737,4.12457434620205,4.02183128767221,3.48220918155475,4.01328055312581,3.1580611335062,0.000118701436440231,0.0256675669742486,0.0010967447611141,0.037698785042078,0.501208640092188,1
mdh1ab,6.80972657290421,7.55425150332582,7.59835954367843,7.50111794451325,7.72376343522524,7.29749131522589,7.43197593619016,7.63796498875186,7.72064002757605,7.76560474472571,7.82579062672573,7.29732687145227,7.51263933592265,7.44868655241261,7.44536061244732,7.3420279759892,7.50273817583647,7.85020058858732,7.20640996117706,7.57444888298304,7.41703317512291,7.31698941547708,7.51632353961479,7.57003746447247,7.64029026133898,7.34060351558174,7.723180938313,7.55916049693566,7.39883599265929,7.17518145528333,7.50778917276487,7.35074496834933,7.5955292681348,7.35259937794683,7.24799024181032,7.59171494710932,7.55356157926356,7.74141605133215,7.56005149353554,7.75272451249092,7.63725604047407,7.5778155464702,7.36156261253547,7.45274753229396,7.33013746930548,0.989859393735953,0.999203594365294,0.813558654526803,0.950527619875858,0.800745488426731,1
aco1,0.991252160479954,0.976664015097741,1.04673006097552,1.3182727403847,1.27027051352938,1.06734950766208,1.18613092333036,0.921137746461048,1.11845834891923,1.1025636084831,1.09296687551695,1.00240825618483,1.33664235511839,0.965897740655398,0.863396969016193,1.35800716036026,1.00907664439064,0.987945050575593,1.00353078744833,1.39791084597489,1.29736762065997,0.892739805943477,0.848028344882289,0.935458907129321,1.62224498593106,1.29598925648586,1.20871914988354,1.31386562607326,1.1175450591903,1.00563454267008,0.855832526798316,0.858352599249188,1.01311781939896,0.824963359856676,1.2055760318344,1.16415932375975,1.07351238430217,1.20462231792608,1.22953878984112,0.916457679564957,0.964167810920586,0.996143245377419,1.31858989098437,1.08218714486449,1.09657177967333,0.163904129436992,NA,0.296630169269861,NA,0.701928296711599,1
sdhba,7.68642221680557,7.79554038688703,7.78906056255273,7.93536513162857,8.14747375955872,7.76340388151491,7.7815524882954,7.80734664568872,7.72748491912357,7.80053349303582,7.90982899429444,7.7567082976194,7.98573512194586,7.81432512503649,8.0519713938127,7.79634453015925,7.77907799408461,7.85649955058496,7.70612561543982,7.98418165743439,7.98850080139799,7.89687817402722,7.70575549855058,7.73941754545011,7.76598077723323,7.95881378462446,7.96162304743611,7.70761180276522,7.76528172636324,7.58233078440303,7.71308187438633,7.66224744188944,8.04918482435714,7.92518946148113,7.8960820637489,7.75966711947582,7.86482015973383,7.90581255947291,7.81646848601741,7.92988220032683,8.00567363517037,7.70342943933135,7.83498792577247,7.85428183721833,7.60672931751915,0.629858106860977,0.938371013226404,0.495812108573128,0.815605163623082,0.844076400598016,1
aco2a,7.55581393794105,8.10594575970617,8.26254001522428,8.14526610942314,8.35106652341659,7.88718463431981,7.95277379358399,7.81152337661932,7.98188799186864,8.31635537514418,8.47302449838511,8.0463743159791,8.25409229513872,8.11921533437019,8.16820271289654,8.03429356720221,8.0629273934044,8.36659555358448,7.8642227658161,8.33367250271328,8.03539021556328,8.07835889555501,7.89320920240884,8.18829111879179,7.97128211098419,8.1110496067221,8.20942481488501,8.10522047361126,7.80554103886556,7.78065230020145,7.94878881984444,8.16071109466346,8.39074281358776,7.94188809429136,8.18953618723403,7.91862485722848,8.06942255872257,8.31759891430156,8.12126835192853,8.36908052786342,8.19328676925931,8.15887599554234,8.03107622978339,8.15695184506255,7.84578217750157,0.344312618719173,0.821926910535178,0.54245593701705,0.838166943538536,0.723905371836183,1
